path,url,title,date,type_guess,weight_28d,clicks_28d,impressions_28d,avg_pos_28d,ctr_28d,clicks_7d,impressions_7d,avg_pos_7d,ctr_7d
/tc/insights/workplace-culture-hk-sick-leave-guilt-international-sick-leave-day,https://refresh.bokss.org.hk/tc/insights/workplace-culture-hk-sick-leave-guilt-international-sick-leave-day,【5/13 國際請病假日】為何連病都不敢請假？拆解香港打工仔的病假羞恥症,2026-05-13,標準熱話科普,10.969,9,624,10.21,0.014423,3,116,10.22,0.025862
/tc/insights/clothes-emotions,https://refresh.bokss.org.hk/tc/insights/clothes-emotions,衣著是情緒的神隊友,2023-02-24,標準熱話科普,10.948,9,598,6.75,0.01505,2,215,6.91,0.009302
/tc/insights/caregiver-selfcare-emotional-burnout-hk-refresh,https://refresh.bokss.org.hk/tc/insights/caregiver-selfcare-emotional-burnout-hk-refresh,個人成長 照顧者壓力爆煲點算好？「長貧難顧」下，3句話學會自我照顧,2026-05-14,標準熱話科普,10.905,9,520,12.47,0.017308,3,95,5.76,0.031579
/tc/insights/danny-chan,https://refresh.bokss.org.hk/tc/insights/danny-chan,個人成長 紀念陳百強逝世30周年 3首為人生喝采的經典歌,2023-10-25,標準熱話科普,10.898,9,486,8.68,0.018519,3,94,8.0,0.031915
/tc/insights/hk-investment-psychology-aversion-pokemon-refresh,https://refresh.bokss.org.hk/tc/insights/hk-investment-psychology-aversion-pokemon-refresh,工作與財務管理 為何越輸越想搏？從盲盒到股票，行為心理學拆解投資風險與情緒壓力,2026-03-27,標準熱話科普,10.701,8,1181,11.02,0.006774,2,392,13.64,0.005102
/tc/insights/change-comfort-zone,https://refresh.bokss.org.hk/tc/insights/change-comfort-zone,個人成長 為何總是害怕改變？ 跳出Comfort zone的6個建議,2023-03-15,標準熱話科普,10.379,8,987,8.9,0.008105,1,162,10.74,0.006173
/tc/insights/emotional-blackmail,https://refresh.bokss.org.hk/tc/insights/emotional-blackmail,人際關係 小心情緒勒索而不自知 5個實用方法讓你為關係「排毒」,2023-07-12,標準熱話科普,10.288,4,3112,8.74,0.001285,0,1068,7.34,0.0
/tc/insights/chiikawa-life,https://refresh.bokss.org.hk/tc/insights/chiikawa-life,個人成長 個人成長｜連男生也追捧的小可愛《吉伊卡哇Chiikawa》 教你在殘酷現實不失積極,2024-08-20,標準熱話科普,10.258,8,909,6.96,0.008801,3,167,6.09,0.017964
/tc/insights/post/selfcare_001,https://refresh.bokss.org.hk/tc/insights/post/selfcare_001,從自己出發「關懷自我」,2022-03-02,標準熱話科普,9.798,8,404,10.27,0.019802,3,92,8.09,0.032609
/tc/insights/wisdom-of-compromise,https://refresh.bokss.org.hk/tc/insights/wisdom-of-compromise,【自我成長】 「妥協」不是「怯」，而是看清大局後的智慧,2025-10-21,標準熱話科普,9.727,3,3341,6.75,0.000898,0,568,6.67,0.0
/tc/insights/seven-year-itch,https://refresh.bokss.org.hk/tc/insights/seven-year-itch,個人成長 「七年之癢」有跡可尋 提升感情溫度、讓關係昇華的7個方法,2023-08-16,標準熱話科普,9.615,7,1156,9.23,0.006055,4,146,9.55,0.027397
/tc/insights/lifestyle-medicine,https://refresh.bokss.org.hk/tc/insights/lifestyle-medicine,【有片】補充劑補不回健康！港安專家：生活形態醫學才是治本關鍵,2026-04-02,EAP／影片,9.171,2,14,22.43,0.142857,1,5,5.6,0.2
/tc/insights/sen-qa,https://refresh.bokss.org.hk/tc/insights/sen-qa,我的孩子不夠「乖」？ 認識SEN 了解限制 調整期望,2024-03-20,標準熱話科普,9.007,6,1396,11.63,0.004298,1,299,9.24,0.003344
/tc/insights/Brain-Rot,https://refresh.bokss.org.hk/tc/insights/Brain-Rot,情緒管理｜從「網絡成癮」到「腦腐」 依賴上網使人變笨又焦慮？線上生活如何自救？,2025-01-09,標準熱話科普,8.957,7,743,7.91,0.009421,2,189,7.45,0.010582
/tc/insights/hong-kong-gen-z-2026-selfie-perfection-fatigue-Photo-Dump-refresh,https://refresh.bokss.org.hk/tc/insights/hong-kong-gen-z-2026-selfie-perfection-fatigue-Photo-Dump-refresh,【2026 is the new 2016】Gen Z低清自拍潮興起，是「完美疲勞」的心理反彈？,2026-01-26,標準熱話科普,8.839,7,269,7.42,0.026022,2,68,6.0,0.029412
